generation,avg_unshaped_r,avg_shaped_r,avg_length,max_unshaped_r,max_shaped_r
1,-0.4600,-0.4600,160.60,1.1000,1.1000
2,-0.4918,-0.4918,172.69,3.1000,3.1000
3,-0.2061,-0.2061,178.45,2.1000,2.1000
4,-0.3082,-0.3082,171.10,1.1000,1.1000
5,-0.0633,-0.0633,179.63,2.1000,2.1000
6,-0.1041,-0.1041,149.92,1.1000,1.1000
7,-0.2061,-0.2061,161.73,2.1000,2.1000
8,-0.1653,-0.1653,171.37,2.1000,2.1000
9,-0.2061,-0.2061,169.35,2.1000,2.1000
10,-0.0837,-0.0837,179.04,1.1000,1.1000
11,-0.1857,-0.1857,170.10,1.1000,1.1000
12,0.1000,0.1000,185.67,2.1000,2.1000
13,-0.2878,-0.2878,159.18,1.1000,1.1000
14,0.0796,0.0796,172.04,2.1000,2.1000
15,0.0388,0.0388,169.41,2.1000,2.1000
16,0.2633,0.2633,181.29,2.1000,2.1000
17,-0.1041,-0.1041,167.43,1.1000,1.1000
18,0.0592,0.0592,168.43,3.1000,3.1000
19,0.1000,0.1000,169.92,1.1000,1.1000
20,0.0796,0.0796,174.02,2.1000,2.1000
