generation,avg_unshaped_r,avg_shaped_r,avg_length,max_unshaped_r,max_shaped_r,sigma
1,-0.2800,-4.6143,177.16,3.1000,11.7250,0.0950
2,-0.2673,-3.3633,166.45,1.1000,4.7770,0.1045
3,-0.0837,-2.8419,157.45,1.1000,4.7445,0.1150
4,0.2224,-0.9610,169.33,2.1000,9.8560,0.1092
5,0.2633,-0.5458,169.55,2.1000,10.9005,0.1037
6,0.2837,-0.6006,174.33,2.1000,10.0010,0.1141
7,0.5694,0.9273,175.61,2.1000,10.9060,0.1084
8,0.6714,0.9677,174.61,3.1000,11.9200,0.1030
9,0.6918,0.9384,171.47,3.1000,13.5590,0.0978
10,0.6918,0.8809,173.82,3.1000,12.8735,0.1076
11,0.8143,1.2250,173.37,3.1000,12.2710,0.1184
12,0.5694,-0.0450,166.76,2.1000,9.3810,0.1302
13,0.6306,-0.1869,179.71,2.1000,10.8560,0.1237
14,0.5694,0.0838,176.04,2.1000,10.0530,0.1361
15,0.4878,-0.1352,168.08,2.1000,9.5995,0.1497
16,0.6102,0.1764,175.20,2.1000,9.6530,0.1422
17,0.4673,-0.1186,166.37,2.1000,9.9245,0.1351
18,0.5694,0.5881,182.86,2.1000,10.4100,0.1283
19,0.7327,1.0317,181.39,2.1000,10.8960,0.1219
20,0.5694,0.3096,169.35,3.1000,12.9185,0.1158
21,0.4878,0.1990,154.96,2.1000,7.1810,0.1274
22,0.7327,0.8519,175.31,2.1000,8.7150,0.1210
23,0.7122,0.5716,175.86,2.1000,10.0785,0.1150
24,0.8143,0.7903,179.94,3.1000,11.8830,0.1092
25,0.6102,0.0967,170.86,2.1000,10.4390,0.1202
26,0.7122,1.2725,177.61,2.1000,11.0335,0.1142
27,0.7531,1.4974,187.90,2.1000,10.3255,0.1256
28,0.6510,1.3986,164.24,2.1000,10.7165,0.1193
29,0.6102,0.7458,171.18,3.1000,12.8070,0.1133
30,0.7531,1.6430,170.31,2.1000,10.4835,0.1247
31,0.6510,0.3476,182.14,2.1000,9.8565,0.1371
32,0.6714,0.2665,176.53,2.1000,10.4950,0.1303
33,0.5694,0.4794,173.00,2.1000,11.3830,0.1238
34,0.6306,0.7030,162.55,2.1000,10.8305,0.1361
35,0.6306,0.6382,173.57,2.1000,10.5770,0.1497
36,0.4673,-0.0338,173.45,2.1000,7.6010,0.1647
37,0.5082,-0.0347,177.33,2.1000,10.4690,0.1565
38,0.5286,0.2451,176.69,3.1000,12.5995,0.1487
39,0.6102,0.2513,174.73,2.1000,9.7680,0.1635
40,0.6306,0.7784,172.18,3.1000,12.5390,0.1554
41,0.4061,0.0642,168.61,2.1000,9.9930,0.1709
42,0.5898,0.9073,159.14,2.1000,10.5835,0.1623
43,0.6510,1.0734,176.88,2.1000,11.1070,0.1542
44,0.6510,0.6883,168.35,2.1000,10.1205,0.1696
45,0.4878,-0.0578,167.24,2.1000,6.7560,0.1866
46,0.5694,0.6003,158.65,2.1000,10.3765,0.1773
47,0.3653,-0.2884,165.88,2.1000,10.0900,0.1950
48,0.5694,0.5800,167.88,2.1000,10.9565,0.1853
49,0.5694,0.4324,172.92,3.1000,13.1085,0.1760
50,0.4061,-0.2522,169.43,2.1000,5.3830,0.1936
51,0.4061,-0.9166,185.67,2.1000,10.5085,0.1839
52,0.3653,-0.6224,176.45,2.1000,10.0350,0.2023
53,0.5694,0.5663,162.31,3.1000,12.9415,0.1922
54,0.4061,-0.3720,173.84,2.1000,10.5415,0.2114
55,0.4673,-0.0347,166.98,2.1000,10.9640,0.2008
56,0.3449,-0.6872,172.65,1.1000,6.6280,0.2209
57,0.3449,-0.5306,172.88,2.1000,10.0130,0.2099
58,0.3449,-0.4729,166.20,2.1000,10.3065,0.1994
59,0.3653,-0.2481,174.71,1.1000,5.4770,0.2193
60,0.5082,0.1646,163.63,2.1000,10.8200,0.2084
61,0.3857,-0.4925,172.84,2.1000,5.7880,0.2292
62,0.3245,-1.1135,178.78,2.1000,6.1795,0.2177
63,0.5898,0.9006,163.33,2.1000,10.6385,0.2068
64,0.4673,0.0392,173.20,3.1000,12.7940,0.1965
65,0.5898,1.0197,177.12,2.1000,10.7795,0.2162
66,0.3857,0.1163,164.65,2.1000,5.8355,0.2378
67,0.3857,-0.5741,174.88,2.1000,9.0260,0.2259
68,0.5898,0.7682,171.22,2.1000,10.7480,0.2146
69,0.5694,0.6198,182.96,2.1000,10.8305,0.2039
70,0.4061,-0.2552,164.78,3.1000,14.2785,0.1937
71,0.4061,-0.2040,170.57,2.1000,10.4835,0.2130
72,0.3449,-0.1731,171.45,1.1000,5.3750,0.2343
73,0.5490,0.5517,175.45,2.1000,9.2585,0.2226
74,0.6306,0.8928,172.06,3.1000,12.6740,0.2115
75,0.5490,0.4854,166.47,2.1000,10.5630,0.2326
76,0.3653,0.1218,162.57,2.1000,10.4590,0.2559
77,0.3653,-0.3651,169.82,2.1000,9.8565,0.2815
78,0.3449,-0.3373,168.43,2.1000,10.2940,0.2674
79,0.2020,-0.5887,170.63,2.1000,10.6835,0.2540
80,0.6510,1.0637,173.41,2.1000,9.4465,0.2795
81,0.4673,-0.4368,184.55,3.1000,10.3925,0.2655
82,0.2020,-0.9190,170.29,2.1000,10.1025,0.2920
83,0.4878,0.4969,170.92,2.1000,6.3590,0.3212
84,0.4469,-0.3406,177.20,2.1000,5.5680,0.3534
85,0.4265,0.0517,177.78,2.1000,10.2760,0.3357
86,0.2224,-0.7746,171.29,1.1000,5.7765,0.3693
87,0.4061,-0.3784,180.24,2.1000,8.1485,0.3508
88,0.2224,-0.7628,168.86,2.1000,10.3950,0.3333
89,0.5490,0.7139,173.80,2.1000,10.5600,0.3166
90,0.5286,0.7636,164.10,3.1000,12.4170,0.3008
91,0.5490,0.2986,182.41,3.1000,12.3000,0.3308
